tile	nucleus	intensity
20	57	26736
20	58	23240
20	59	28896
20	60	30785
20	61	30322
20	62	30563
20	63	48568
20	64	49944
20	65	29765
20	66	28718
20	67	55277
20	68	27403
20	69	26449
20	70	56259
20	71	28248
20	72	36442
20	73	27939
20	74	31001
20	75	70369
20	76	28342
20	77	34411
20	78	33152
20	79	36426
20	80	25102
20	81	28213
20	82	109337
20	83	39270
20	84	23699
20	85	29709
20	86	79206
20	87	31322
20	88	88766
20	89	68497
20	90	42661
20	91	56658
20	92	37883
20	93	172196
20	94	24906
20	95	134266
20	96	57200
20	97	50883
20	98	49679
20	99	25302
20	100	42026
20	101	77728
20	102	77756
20	103	41256
20	104	23965
20	105	330666
20	106	23605
20	107	47579
20	108	43997
20	109	75064
20	110	36607
20	111	42368
20	112	24827
20	113	38337
20	114	25106
20	115	30717
20	116	30859
20	117	35843
20	118	60226
20	119	33432
20	120	33632
20	121	39615
20	122	85067
20	123	25380
20	124	29791
20	125	53645
20	126	41265
20	127	87129
20	128	41562
20	129	36426
20	130	59597
20	131	51715
20	132	66937
20	133	167282
20	134	28274
20	135	32832
20	136	22570
20	137	37141
20	138	26698
20	139	33816
20	140	78494
20	141	38552
20	142	29055
20	143	34923
20	144	95799
20	145	23893
20	146	38274
20	147	47658
20	148	29741
20	149	22762
20	150	31273
20	151	44494
20	152	108003
20	153	34825
20	154	29405
20	155	24540
20	156	45475
20	157	32313
20	158	35275
20	159	27448
20	160	73540
20	161	122647
20	162	59118
20	163	38616
20	164	26223
20	165	145162
20	166	26649
20	167	24070
20	168	22637
20	169	24385
21	1	775365
21	2	627771
21	3	4401133
21	4	341233
21	5	1606790
21	6	601930
21	7	583648
21	8	1508822
21	9	4704144
21	10	1479878
21	11	57629
21	12	2454974
21	13	1026189
22	1	1051888
22	2	1343943
22	3	1739101
22	4	2830129
22	5	1376305
22	6	2322210
22	7	1087568
22	8	831721
22	9	3343054
22	10	4420743
22	11	1231665
22	12	781296
23	1	4528054
23	2	2015470
23	3	3544084
23	4	1123884
23	5	5415753
23	6	330828
23	7	1022949
23	8	2044598
23	9	2333188
23	10	862430
23	11	659199
23	12	5792675
23	13	700072
23	14	4382119
23	15	1947909
23	16	1270783
23	17	2943473
23	18	1551414
23	19	2668222
23	20	861167
23	21	4196847
23	22	203612
23	23	1898987
24	1	5433693
24	2	8168521
24	3	512774
24	4	4777078
24	5	287080
24	6	5911924
24	7	1995661
24	8	923173
24	9	1248886
24	10	894468
24	11	1491340
24	12	4235864
24	13	1206384
24	14	849523
24	15	1186961
24	16	1584427
24	17	1499137
24	18	457286
24	19	445319
25	1	3507436
25	2	1104112
25	3	6596015
25	4	1910953
25	5	4227878
25	6	4656059
25	7	822908
25	8	879897
25	9	4447307
25	10	817926
25	11	455006
26	1	547831
26	2	565533
26	3	4202911
26	4	3064278
26	5	522302
26	6	4178448
26	7	1719375
26	8	5198826
26	9	2831328
26	10	2269415
26	11	1297681
26	12	5791545
26	13	5260353
26	14	1408920
26	15	3485725
26	16	1714039
26	17	860909
26	18	2681622
26	19	7700873
26	20	994423
26	21	90205
26	22	2386669
26	23	257396
26	24	4347522
26	25	4831009
26	26	471657
26	27	3324848
26	28	855624
26	29	3308844
26	30	637677
26	31	1522791
26	32	4847670
26	33	1925518
26	34	1334942
26	35	2618771
26	36	4255092
26	37	1693544
26	38	4184933
26	39	6394742
26	40	1860966
26	41	932974
26	42	1239556
26	43	811414
26	44	3840066
26	45	3614848
26	46	2968169
26	47	3629077
26	48	4636343
26	49	4536380
26	50	1838411
26	51	1644437
26	52	3813274
26	53	2499590
26	54	1106706
26	55	979200
26	56	865654
26	57	2763597
29	1	1944896
29	2	264059
29	3	231516
29	4	561938
29	5	157246
29	6	1926315
29	7	2495703
29	8	1354826
29	9	3078873
29	10	1187118
29	11	1215750
29	12	1562279
29	13	1489961
29	14	3068938
29	15	245310
29	16	209575
29	17	359358
29	18	4476610
29	19	609326
29	20	37811
29	21	5564869
29	22	1219468
29	23	1110109
29	24	614378
29	25	671030
29	26	300735
29	27	247716
29	28	4016363
29	29	686594
29	30	1621321
29	31	2116075
29	32	158859
29	33	284945
29	34	813302
29	35	417202
29	36	1111890
29	37	450257
29	38	887328
29	39	137792
29	40	47916
29	41	2730724
29	42	679302
29	43	789947
29	44	591133
29	45	815435
29	46	395342
29	47	1643599
29	48	1395772
29	49	1945686
29	50	1130202
29	51	274866
29	52	489117
29	53	609669
29	54	201364
29	55	277762
29	56	489413
29	57	77618
29	58	311821
29	59	58458
30	1	3159899
30	2	1713278
30	3	4256842
30	4	2002686
30	5	1959396
30	6	3916339
30	7	2581308
30	8	3949904
30	9	2698694
30	10	8351874
30	11	6204758
30	12	720070
30	13	2300094
30	14	627963
30	15	2267517
30	16	4591194
30	17	1480713
30	18	600630
30	19	5391802
30	20	3258486
30	21	4793969
30	22	326909
30	23	337126
30	24	1936834
30	25	361967
30	26	571946
30	27	7775388
30	28	4897030
30	29	175721
30	30	4833289
30	31	3666616
30	32	1235775
30	33	1897808
30	34	1232397
30	35	3947929
30	36	348039
30	37	394658
30	38	1938949
30	39	251531
30	40	1666906
30	41	1414976
30	42	736021
30	43	192316
31	1	421851
31	2	1563142
31	3	1085384
31	4	1814604
31	5	1273308
31	6	1411444
31	7	341673
33	1	60720
33	2	25778
33	3	46827
33	4	28530
33	5	39062
33	6	43279
33	7	34081
33	8	36988
33	9	65193
33	10	24429
33	11	24195
33	12	27875
33	13	41369
33	14	48630
33	15	38257
33	16	92618
33	17	26880
33	18	48339
33	19	23536
33	20	36904
33	21	30263
33	22	32786
33	23	24350
33	24	58269
33	25	60686
33	26	40397
33	27	27301
33	28	23956
33	29	24652
33	30	27360
33	31	24332
33	32	26462
33	33	41662
33	34	48781
33	35	56151
33	36	41882
33	37	45830
33	38	276826
33	39	43664
33	40	36769
33	41	94598
33	42	83704
33	43	32262
33	44	24914
33	45	26344
33	46	36243
33	47	44000
33	48	40649
33	49	80624
33	50	115726
33	51	23118
33	52	103138
33	53	73414
33	54	24081
33	55	297919
33	56	93596
33	57	48601
33	58	99134
33	59	34850
33	60	44714
33	61	28585
33	62	61339
33	63	81021
33	64	52201
33	65	30805
33	66	49583
33	67	39101
33	68	76706
33	69	62372
33	70	29545
33	71	29385
33	72	26317
33	73	31536
33	74	65297
33	75	46929
33	76	34703
33	77	24665
33	78	22849
33	79	44822
33	80	82391
33	81	55882
33	82	72392
33	83	85936
33	84	21437
33	85	107611
35	1	2405131
35	2	2687090
35	3	2086496
35	4	2708814
35	5	286721
35	6	3213412
35	7	2294156
35	8	2654035
35	9	6026323
35	10	1473923
35	11	599490
35	12	924013
35	13	2079029
35	14	1443674
35	15	2502946
35	16	2522843
35	17	5509747
35	18	2005237
35	19	4716939
35	20	2641014
35	21	2195465
35	22	4145572
35	23	2158018
35	24	1568113
35	25	3862584
35	26	2556786
35	27	1644017
35	28	1620127
35	29	3156479
35	30	2309919
35	31	3486026
35	32	2723674
35	33	3378031
35	34	2124674
35	35	1821338
35	36	1018589
35	37	2226669
35	38	2326907
35	39	3783836
35	40	918176
35	41	1759262
35	42	1415073
35	43	1371721
35	44	1477437
35	45	3172401
35	46	1764585
35	47	619211
35	48	1670255
35	49	614643
35	50	2028163
35	51	651540
35	52	2600274
35	53	2066205
36	1	2602962
36	2	3296191
36	3	3935552
36	4	994897
36	5	2700647
36	6	2922984
36	7	12716469
36	8	3746714
36	9	215935
36	10	2216931
36	11	3023430
36	12	4271816
36	13	1761906
36	14	1369855
36	15	671077
36	16	1821590
36	17	659774
36	18	356344
37	1	1628013
37	2	1724204
37	3	523497
37	4	2518462
37	5	1442341
38	1	402274
38	2	602654
38	3	132487
39	1	971122
39	2	587964
39	3	452599
39	4	953242
39	5	799584
39	6	395769
39	7	3842157
39	8	2563767
39	9	1400702
39	10	347290
39	11	529511
40	1	6465637
40	2	5710007
40	3	1709836
40	4	2001583
40	5	1728765
40	6	6172820
40	7	9046662
40	8	2766478
40	9	2685833
40	10	331673
40	11	685321
40	12	1203823
40	13	3856919
40	14	7292951
40	15	15257759
40	16	2537015
40	17	4448600
40	18	9813884
40	19	3005080
40	20	5749818
40	21	6479845
40	22	463627
40	23	496256
40	24	2218679
40	25	4412899
40	26	990397
40	27	3515843
40	28	5706538
40	29	5530340
40	30	2555056
40	31	4671148
40	32	4580829
40	33	6097210
40	34	491304
40	35	6655238
40	36	542047
40	37	709710
40	38	10236414
40	39	2851624
40	40	7930501
40	41	6284437
40	42	7816175
40	43	1949617
40	44	6460610
40	45	382349
40	46	6023865
40	47	2634781
40	48	671895
40	49	2649766
40	50	2691318
40	51	4577734
40	52	4164069
40	53	3819099
40	54	3666153
40	55	450268
40	56	3393541
40	57	4839682
40	58	2628975
40	59	3436296
40	60	3111335
40	61	470393
40	62	3740493
40	63	2483109
40	64	674292
40	65	2613127
40	66	1602433
40	67	4094118
40	68	229093
40	69	5753968
40	70	6399709
40	71	790823
40	72	2989954
40	73	873527
40	74	952844
40	75	2561696
40	76	2367704
40	77	650357
40	78	3043369
40	79	1376779
40	80	2517117
40	81	950941
40	82	253637
40	83	2415409
40	84	470996
40	85	1049673
40	86	198337
40	87	184880
41	1	111861
41	2	279798
41	3	1332903
41	4	643122
41	5	942855
41	6	476831
41	7	1115227
41	8	1487940
41	9	146440
41	10	399791
41	11	745338
41	12	410124
41	13	1509372
41	14	462163
41	15	301516
41	16	284244
43	1	1036604
43	2	131965
43	3	109198
43	4	561157
43	5	162576
43	6	947886
43	7	146439
43	8	1363918
43	9	272943
43	10	202406
43	11	1105051
43	12	250492
43	13	2952299
43	14	249046
43	15	126201
43	16	2191262
43	17	86511
43	18	1317194
43	19	896103
43	20	2075037
43	21	335922
43	22	1156686
43	23	751654
43	24	2727197
43	25	923111
43	26	2506227
43	27	225535
43	28	1575137
43	29	1093322
43	30	187987
43	31	2847374
43	32	2826211
43	33	837062
43	34	3616393
43	35	1783302
43	36	976078
43	37	1444659
43	38	452243
43	39	715168
43	40	338685
43	41	1302966
43	42	379205
43	43	1790460
43	44	613715
43	45	1739753
43	46	808502
43	47	607835
43	48	515811
43	49	2673634
43	50	536652
43	51	1086566
43	52	474530
43	53	1830397
43	54	364224
43	55	1171574
43	56	1544233
43	57	208897
43	58	951062
43	59	1565766
43	60	1168925
44	1	2924201
44	2	2865560
44	3	302503
44	4	437510
44	5	4632820
44	6	918235
44	7	1004034
44	8	4761317
44	9	213026
44	10	769048
44	11	5069087
44	12	3069382
44	13	3007306
44	14	4272258
44	15	1470939
44	16	791666
44	17	4800523
44	18	533842
44	19	869398
44	20	3370546
44	21	3404354
44	22	1879904
44	23	473223
44	24	424621
44	25	4306259
44	26	1389942
44	27	325299
44	28	5135451
44	29	3571930
44	30	3028475
44	31	3233848
44	32	2330404
44	33	168457
44	34	2250196
44	35	254666
44	36	629847
44	37	1610366
44	38	1018281
44	39	2919813
44	40	2086605
44	41	104888
44	42	1785414
44	43	2448862
44	44	145079
44	45	2703963
44	46	113381
44	47	437005
44	48	354420
44	49	1286827
44	50	1212020
44	51	908764
44	52	1720370
44	53	1177308
44	54	863554
44	55	500880
44	56	127047
44	57	473457
45	1	2227251
45	2	2525017
45	3	2273315
45	4	644260
45	5	8656398
45	6	281181
45	7	670363
45	8	668382
45	9	289651
45	10	2125105
45	11	389991
45	12	384671
45	13	2296053
45	14	1094555
45	15	1965514
45	16	553119
45	17	738151
46	1	4974056
46	2	2360108
46	3	3368732
46	4	2376223
46	5	3436802
46	6	2533287
46	7	1535532
46	8	4802685
46	9	1062294
46	10	223255
46	11	1624062
47	1	514076
47	2	1521400
47	3	1541070
47	4	2233884
47	5	3644158
47	6	353313
47	7	1869202
47	8	2485739
47	9	1680208
47	10	2918590
47	11	1179841
47	12	938779
47	13	1576687
47	14	822612
47	15	1410107
47	16	488123
48	1	3227805
48	2	3151310
48	3	4892226
48	4	5694919
48	5	8527038
48	6	3266542
48	7	3992827
48	8	880971
48	9	13473394
48	10	2988941
48	11	5027225
48	12	2090662
48	13	799127
48	14	6984500
48	15	493438
48	16	2677261
48	17	3923069
48	18	648774
48	19	2665458
48	20	805873
48	21	2558227
48	22	1599575
48	23	3556996
48	24	6169014
48	25	5780595
48	26	3807395
48	27	3081321
48	28	2470350
48	29	3318276
48	30	5758809
48	31	1283828
48	32	2148411
48	33	1373521
48	34	4135037
48	35	226180
48	36	1996853
48	37	2197973
48	38	869385
48	39	2152018
48	40	2379382
48	41	1499700
48	42	7706378
48	43	4274295
48	44	986327
48	45	3820860
48	46	1748463
48	47	1166276
48	48	1355092
48	49	1300422
48	50	1217049
48	51	4167822
48	52	2651019
48	53	2223348
48	54	3509390
48	55	2323226
48	56	707404
48	57	2824032
48	58	2910670
48	59	1106833
48	60	891486
48	61	1382561
48	62	1991530
48	63	1649367
49	1	4696712
49	2	1595823
49	3	11619362
49	4	4853928
49	5	2139621
49	6	5305223
49	7	7739571
49	8	4633776
49	9	1829004
49	10	2943973
49	11	4702813
49	12	4227585
49	13	5534169
49	14	3708205
49	15	3087407
49	16	4125691
49	17	819891
49	18	2731580
49	19	4336615
49	20	3769828
49	21	6517199
49	22	3722692
49	23	4324119
49	24	2759720
49	25	9361464
49	26	1946263
49	27	6227094
49	28	5267291
49	29	2855035
49	30	5022085
49	31	6622203
49	32	3391502
49	33	2301587
49	34	4356613
49	35	3199094
49	36	9102674
49	37	522017
49	38	239061
49	39	2532763
49	40	7261948
49	41	1317499
49	42	1371800
49	43	4207758
49	44	6091214
49	45	1309532
49	46	2287294
49	47	1471757
49	48	4079674
49	49	454969
49	50	3061081
49	51	4132892
49	52	2744896
49	53	1368668
49	54	2273876
49	55	3435204
49	56	8742944
49	57	612528
49	58	265137
49	59	1999316
49	60	913618
49	61	7258799
49	62	4962240
49	63	4602286
49	64	4345784
49	65	1766027
49	66	1193640
49	67	2797529
49	68	1234948
49	69	3283927
49	70	2016979
49	71	7082208
49	72	1486269
49	73	1857841
49	74	2073999
